KO	Description	Pathway
K00820	"glmS, GFPT"	"Alanine, aspartate and glutamate metabolism"
K01953	"asnB, ASNS"	"Alanine, aspartate and glutamate metabolism"
K02473	wbpP	Amino sugar and nucleotide sugar metabolism
K02472	wecC	Amino sugar and nucleotide sugar metabolism
K13017	"wbpE, wlbC"	Amino sugar and nucleotide sugar metabolism
K13010	"per, rfbE"	Amino sugar and nucleotide sugar metabolism
K01480	speB	Arginine and proline metabolism
K00147	proA	Arginine and proline metabolism
K00930	argB	Arginine biosynthesis
K02078	acpP	Biosynthesis of various secondary metabolites - part 2
K01647	"CS, gltA"	Citrate cycle (TCA cycle)
K00797	"speE, SRM, SPE3"	Cysteine and methionine metabolism
K20249	raiI	Cysteine and methionine metabolism
K00059	"fabG, OAR1"	Fatty acid biosynthesis
K01782	fadJ	Fatty acid degradation
K03639	"moaA, CNX2"	Folate biosynthesis
K01737	"queD, ptpS, PTS"	Folate biosynthesis
K06920	queC	Folate biosynthesis
K09457	queF	Folate biosynthesis
K06879	queF	Folate biosynthesis
K16011	"algA, xanB, rfbA, wbpW, pslB"	Fructose and mannose metabolism
K00966	GMPP	Fructose and mannose metabolism
K01711	"gmd, GMDS"	Fructose and mannose metabolism
K01729	algL	Fructose and mannose metabolism
K02377	"TSTA3, fcl"	Fructose and mannose metabolism
K01784	"galE, GALE"	Galactose metabolism
K01255	"CARP, pepA"	Glutathione metabolism
K01613	"psd, PISD"	Glycerophospholipid metabolism
K00281	"GLDC, gcvP"	"Glycine, serine and threonine metabolism"
K01834	"PGAM, gpmA"	Glycolysis / Gluconeogenesis
K01624	"FBA, fbaA"	Glycolysis / Gluconeogenesis
K00873	"PK, pyk"	Glycolysis / Gluconeogenesis
K00627	"DLAT, aceF, pdhC"	Glycolysis / Gluconeogenesis
K11472	glcE	Glyoxylate and dicarboxylate metabolism
K00104	glcD	Glyoxylate and dicarboxylate metabolism
K07008	egtC	Histidine metabolism
K03273	gmhB	Lipopolysaccharide biosynthesis
K03274	"gmhD, rfaD"	Lipopolysaccharide biosynthesis
K03272	"gmhC, hldE, waaE, rfaE"	Lipopolysaccharide biosynthesis
K03271	"gmhA, lpcA"	Lipopolysaccharide biosynthesis
K02536	lpxD	Lipopolysaccharide biosynthesis
K02849	"waaQ, rfaQ"	Lipopolysaccharide biosynthesis
K02843	"waaF, rfaF"	Lipopolysaccharide biosynthesis
K00674	dapD	Lysine biosynthesis
K07151	STT3	N-Glycan biosynthesis
K00721	DPM1	N-Glycan biosynthesis
K03462	NAMPT	Nicotinate and nicotinamide metabolism
K13522	"K13522, nadM"	Nicotinate and nicotinamide metabolism
K00952	nadM	Nicotinate and nicotinamide metabolism
K00858	"ppnK, NADK"	Nicotinate and nicotinamide metabolism
K00287	"DHFR, folA"	One carbon pool by folate
K02108	"ATPF0A, atpB"	Oxidative phosphorylation
K00859	coaE	Pantothenate and CoA biosynthesis
K00954	"E2.7.7.3A, coaD, kdtB"	Pantothenate and CoA biosynthesis
K00012	"UGDH, ugd"	Pentose and glucuronate interconversions
K01658	trpG	"Phenylalanine, tyrosine and tryptophan biosynthesis"
K00588	E2.1.1.104	Phenylpropanoid biosynthesis
K06167	phnP	Phosphonate and phosphinate metabolism
K22316	rhnA-cobC	Porphyrin and chlorophyll metabolism
K22227	ahbD	Porphyrin and chlorophyll metabolism
K22226	ahbC	Porphyrin and chlorophyll metabolism
K00764	"purF, PPAT"	Purine metabolism
K01933	purM	Purine metabolism
K01945	purD	Purine metabolism
K01638	"aceB, glcB"	Pyruvate metabolism
K14652	ribBA	Riboflavin metabolism
K16150	K16150	Starch and sucrose metabolism
K16148	glgM	Starch and sucrose metabolism
K01710	"rfbB, rmlB, rffG"	Streptomycin biosynthesis
K00973	"rfbA, rmlA, rffH"	Streptomycin biosynthesis
K01858	"INO1, ISYNA1"	Streptomycin biosynthesis
K23144	K23144	Streptomycin biosynthesis
K00390	cysH	Sulfur metabolism
K06881	nrnA	Sulfur metabolism
K01082	"cysQ, MET22, BPNT1"	Sulfur metabolism
K02439	glpE	Sulfur metabolism
K20034	dmdB	Sulfur metabolism
K21140	mec	Sulfur relay system
K21029	moeB	Sulfur relay system
K21147	"moeZR, moeBR"	Sulfur relay system
K13273	PMVK	Terpenoid backbone biosynthesis
K04103	ipdC	Tryptophan metabolism
K01667	tnaA	Tryptophan metabolism
K03183	ubiE	Ubiquinone and other terpenoid-quinone biosynthesis
K00568	ubiG	Ubiquinone and other terpenoid-quinone biosynthesis
K03182	ubiD	Ubiquinone and other terpenoid-quinone biosynthesis
K03473	pdxB	Vitamin B6 metabolism
