user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings
Brothers_S009_maxbin2_056	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Geothermarchaeales;f__JDFR-13;g__JDFR-14;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Geothermarchaeales;f__JDFR-13;g__;s__	taxonomic novelty determined using RED	N/A	N/A	52.34	11	0.836998933	N/A
Brothers_S009_metabat2_013	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	58.2	11	0.758491578	Genome has more than 11.5% of markers with multiple hits
Brothers_S009_metabat2_026	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__JdFR-42;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	71.76	11	0.642583294	N/A
Brothers_S010_maxbin2_039_VB	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	56.11	11	0.808693696	N/A
Brothers_S010_metabat2_059	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	75.8	11	0.863723846	N/A
Brothers_S012_maxbin2_031	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__BMS3B;g__JAADFX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013152685.1	95	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__BMS3B;g__JAADFX01;s__JAADFX01 sp013152685	81.34	0.73	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__BMS3B;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	76.03	11	0.906073361	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brothers_S012_maxbin2_039	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__BMS3B;g__JAADFH01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013152995.1	95	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__BMS3B;g__JAADFH01;s__JAADFH01 sp013152995	84.33	0.59	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__BMS3B;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	77.09	11	0.95781305	N/A
Brothers_S012_maxbin2_043	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Geothermarchaeales;f__JDFR-13;g__B109-G9;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Geothermarchaeales;f__JDFR-13;g__;s__	taxonomic novelty determined using RED	N/A	N/A	82.36	11	0.818575549	N/A
Brothers_S012_maxbin2_114	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Geothermarchaeales;f__JDFR-13;g__B109-G9;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Geothermarchaeales;f__JDFR-13;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.78	11	0.811822059	N/A
Brothers_S012_maxbin2_126	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	71.08	11	0.733033738	N/A
Brothers_S012_maxbin2_133	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	35.83	11	0.601610822	N/A
Brothers_S012_maxbin2_136	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Fervidicoccaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	50.45	11	0.756397224	N/A
Brothers_S012_maxbin2_137	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	82.24	11	0.787736126	N/A
Brothers_S012_maxbin2_155	d__Archaea;p__EX4484-52;c__EX4484-52;o__EX4484-52;f__JAADEF01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__EX4484-52;c__EX4484-52;o__EX4484-52;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	63.7	11	0.72306339	N/A
Brothers_S012_maxbin2_162	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__JAADGB01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013152575.1	95	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__JAADGB01;s__JAADGB01 sp013152575	93.25	0.81	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.27	11	0.994114445	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Brothers_S012_maxbin2_173	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__UBA10214;f__J096;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__UBA10214;f__J096;g__;s__	taxonomic novelty determined using RED	N/A	N/A	77.62	11	0.713573228	N/A
Brothers_S012_maxbin2_193	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Ferroglobus;s__	N/A	N/A	N/A	N/A	N/A	GCF_000025505.1	95	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Ferroglobus;s__Ferroglobus placidus	83.75	0.59	d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	49.32	11	0.966299731	N/A
Brothers_S012_metabat1_003	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-2;f__LC-2;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	81.5	11	0.656597232	N/A
Brothers_S012_metabat2_003	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__UBA10214;f__J096;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__UBA10214;f__J096;g__;s__	taxonomic novelty determined using RED	N/A	N/A	53.38	11	0.718934475	N/A
Brothers_S012_metabat2_011	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	55.64	11	0.828409067	N/A
Brothers_S012_metabat2_013	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	52.17	11	0.739261569	N/A
Brothers_S012_metabat2_021	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__Aeropyrum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	58.45	11	0.834429192	N/A
Brothers_S012_metabat2_028	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__AG1;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__AG1;g__;s__	taxonomic novelty determined using RED	N/A	N/A	53.38	11	0.752104094	N/A
