file format type num_seqs sum_len min_len avg_len max_len
Axial_Plume_NODE_10032_length_2580_cov_1.039543 FASTA DNA 1 2580 2580 2580 2580
Axial_Plume_NODE_10078_length_2575_cov_1.265114 FASTA DNA 1 2575 2575 2575 2575
Axial_Plume_NODE_10125_length_2569_cov_1.397625 FASTA DNA 1 2569 2569 2569 2569
Axial_Plume_NODE_10199_length_2557_cov_1.269959 FASTA DNA 1 2557 2557 2557 2557
Axial_Plume_NODE_10204_length_2557_cov_0.534979 FASTA DNA 1 2557 2557 2557 2557
Axial_Plume_NODE_10253_length_2550_cov_0.910854 FASTA DNA 1 2550 2550 2550 2550
Axial_Plume_NODE_10377_length_2535_cov_0.517857 FASTA DNA 1 2535 2535 2535 2535
Axial_Plume_NODE_10412_length_2530_cov_0.773616 FASTA DNA 1 2530 2530 2530 2530
Axial_Plume_NODE_10421_length_2529_cov_1.783514 FASTA DNA 1 2529 2529 2529 2529
Axial_Plume_NODE_10434_length_2527_cov_0.859167 FASTA DNA 1 2527 2527 2527 2527
Axial_Plume_NODE_10493_length_2521_cov_0.652464 FASTA DNA 1 2521 2521 2521 2521
Axial_Plume_NODE_10611_length_2509_cov_0.741814 FASTA DNA 1 2509 2509 2509 2509
Axial_Plume_NODE_10644_length_2505_cov_0.524390 FASTA DNA 1 2505 2505 2505 2505
Axial_Plume_NODE_10667_length_2502_cov_0.295579 FASTA DNA 1 2502 2502 2502 2502
Axial_Plume_NODE_10811_length_2485_cov_1.380407 FASTA DNA 1 2485 2485 2485 2485
Axial_Plume_NODE_10833_length_2483_cov_0.258489 FASTA DNA 1 2483 2483 2483 2483
Axial_Plume_NODE_10834_length_2483_cov_0.250000 FASTA DNA 1 2483 2483 2483 2483
Axial_Plume_NODE_108_length_25463_cov_17.755920 FASTA DNA 1 25463 25463 25463 25463
Axial_Plume_NODE_10902_length_2475_cov_0.520443 FASTA DNA 1 2475 2475 2475 2475
Axial_Plume_NODE_11034_length_2459_cov_1.123499 FASTA DNA 1 2459 2459 2459 2459
Axial_Plume_NODE_11128_length_2449_cov_1.760982 FASTA DNA 1 2449 2449 2449 2449
Axial_Plume_NODE_11130_length_2449_cov_0.749785 FASTA DNA 1 2449 2449 2449 2449
Axial_Plume_NODE_1127_length_8451_cov_1.174315 FASTA DNA 1 8451 8451 8451 8451
Axial_Plume_NODE_11394_length_2421_cov_1.228858 FASTA DNA 1 2421 2421 2421 2421
Axial_Plume_NODE_11463_length_2414_cov_0.446874 FASTA DNA 1 2414 2414 2414 2414
Axial_Plume_NODE_11529_length_2408_cov_0.307321 FASTA DNA 1 2408 2408 2408 2408
Axial_Plume_NODE_11652_length_2394_cov_0.862814 FASTA DNA 1 2394 2394 2394 2394
Axial_Plume_NODE_11663_length_2393_cov_0.509709 FASTA DNA 1 2393 2393 2393 2393
Axial_Plume_NODE_11682_length_2391_cov_0.341431 FASTA DNA 1 2391 2391 2391 2391
Axial_Plume_NODE_11688_length_2390_cov_0.856385 FASTA DNA 1 2390 2390 2390 2390
Axial_Plume_NODE_11809_length_2378_cov_0.973345 FASTA DNA 1 2378 2378 2378 2378
Axial_Plume_NODE_11824_length_2376_cov_0.541129 FASTA DNA 1 2376 2376 2376 2376
Axial_Plume_NODE_11853_length_2373_cov_0.485307 FASTA DNA 1 2373 2373 2373 2373
Axial_Plume_NODE_11880_length_2369_cov_0.624888 FASTA DNA 1 2369 2369 2369 2369
Axial_Plume_NODE_11992_length_2358_cov_1.095025 FASTA DNA 1 2358 2358 2358 2358
Axial_Plume_NODE_11_length_63412_cov_13.933207 FASTA DNA 1 63412 63412 63412 63412
Axial_Plume_NODE_1201_length_8180_cov_1.320998 FASTA DNA 1 8180 8180 8180 8180
Axial_Plume_NODE_12074_length_2350_cov_0.789924 FASTA DNA 1 2350 2350 2350 2350
Axial_Plume_NODE_12089_length_2348_cov_5.725799 FASTA DNA 1 2348 2348 2348 2348
Axial_Plume_NODE_1212_length_8152_cov_1.870031 FASTA DNA 1 8152 8152 8152 8152
Axial_Plume_NODE_12166_length_2341_cov_0.309846 FASTA DNA 1 2341 2341 2341 2341
Axial_Plume_NODE_12229_length_2335_cov_0.198822 FASTA DNA 1 2335 2335 2335 2335
Axial_Plume_NODE_12260_length_2332_cov_0.640816 FASTA DNA 1 2332 2332 2332 2332
Axial_Plume_NODE_12310_length_2327_cov_0.825455 FASTA DNA 1 2327 2327 2327 2327
Axial_Plume_NODE_12352_length_2323_cov_1.131148 FASTA DNA 1 2323 2323 2323 2323
Axial_Plume_NODE_12421_length_2317_cov_1.900457 FASTA DNA 1 2317 2317 2317 2317
Axial_Plume_NODE_12549_length_2307_cov_0.642661 FASTA DNA 1 2307 2307 2307 2307
Axial_Plume_NODE_12665_length_2296_cov_0.563854 FASTA DNA 1 2296 2296 2296 2296
Axial_Plume_NODE_12674_length_2295_cov_0.561808 FASTA DNA 1 2295 2295 2295 2295
Axial_Plume_NODE_126_length_24237_cov_3.122480 FASTA DNA 1 24237 24237 24237 24237
Axial_Plume_NODE_12783_length_2285_cov_0.576923 FASTA DNA 1 2285 2285 2285 2285
Axial_Plume_NODE_12790_length_2284_cov_0.873435 FASTA DNA 1 2284 2284 2284 2284
Axial_Plume_NODE_12833_length_2280_cov_0.627497 FASTA DNA 1 2280 2280 2280 2280
Axial_Plume_NODE_12837_length_2280_cov_0.538319 FASTA DNA 1 2280 2280 2280 2280
Axial_Plume_NODE_12902_length_2273_cov_0.712022 FASTA DNA 1 2273 2273 2273 2273
Axial_Plume_NODE_12977_length_2266_cov_0.347359 FASTA DNA 1 2266 2266 2266 2266
Axial_Plume_NODE_13028_length_2262_cov_0.621077 FASTA DNA 1 2262 2262 2262 2262
Axial_Plume_NODE_1302_length_7861_cov_9.945306 FASTA DNA 1 7861 7861 7861 7861
Axial_Plume_NODE_13042_length_2261_cov_0.684161 FASTA DNA 1 2261 2261 2261 2261
Axial_Plume_NODE_13107_length_2256_cov_0.673556 FASTA DNA 1 2256 2256 2256 2256
Axial_Plume_NODE_13199_length_2249_cov_1.108388 FASTA DNA 1 2249 2249 2249 2249
Axial_Plume_NODE_13284_length_2244_cov_0.464336 FASTA DNA 1 2244 2244 2244 2244
Axial_Plume_NODE_13321_length_2241_cov_0.896878 FASTA DNA 1 2241 2241 2241 2241
Axial_Plume_NODE_1340_length_7718_cov_2.468318 FASTA DNA 1 7718 7718 7718 7718
Axial_Plume_NODE_13673_length_2214_cov_0.705319 FASTA DNA 1 2214 2214 2214 2214
Axial_Plume_NODE_13695_length_2212_cov_0.683453 FASTA DNA 1 2212 2212 2212 2212
Axial_Plume_NODE_13735_length_2209_cov_0.614313 FASTA DNA 1 2209 2209 2209 2209
Axial_Plume_NODE_13811_length_2203_cov_0.792389 FASTA DNA 1 2203 2203 2203 2203
Axial_Plume_NODE_13835_length_2201_cov_0.575699 FASTA DNA 1 2201 2201 2201 2201
Axial_Plume_NODE_13875_length_2198_cov_0.763882 FASTA DNA 1 2198 2198 2198 2198
Axial_Plume_NODE_13888_length_2197_cov_0.570048 FASTA DNA 1 2197 2197 2197 2197
Axial_Plume_NODE_13918_length_2195_cov_0.535783 FASTA DNA 1 2195 2195 2195 2195
Axial_Plume_NODE_14139_length_2179_cov_0.574074 FASTA DNA 1 2179 2179 2179 2179
