id	Site
2307	Axial_Plume_NODE_108_length_25463_cov_17.755920
1510	Axial_Plume_NODE_11130_length_2449_cov_0.749785
1511	Axial_Plume_NODE_11688_length_2390_cov_0.856385
1512	Axial_Plume_NODE_11992_length_2358_cov_1.095025
845	Axial_Plume_NODE_13107_length_2256_cov_0.673556
652	Axial_Plume_NODE_13673_length_2214_cov_0.705319
2308	Axial_Plume_NODE_14442_length_2156_cov_1.311483
1513	Axial_Plume_NODE_15189_length_2105_cov_0.784125
1514	Axial_Plume_NODE_1604_length_6949_cov_1.028291
2798	Axial_Plume_NODE_20774_length_1814_cov_0.670421
1515	Axial_Plume_NODE_20913_length_1809_cov_0.688466
1516	Axial_Plume_NODE_20997_length_1806_cov_0.986897
2799	Axial_Plume_NODE_2142_length_5902_cov_5.491255
1517	Axial_Plume_NODE_2311_length_5645_cov_1.183219
1518	Axial_Plume_NODE_23135_length_1726_cov_1.002502
1519	Axial_Plume_NODE_24133_length_1693_cov_12.154534
2800	Axial_Plume_NODE_25244_length_1660_cov_0.692759
413	Axial_Plume_NODE_27_length_39607_cov_4.978774
1153	Axial_Plume_NODE_2733_length_5105_cov_42.349739
846	Axial_Plume_NODE_28523_length_1571_cov_1.342798
2801	Axial_Plume_NODE_28605_length_1570_cov_0.221760
1520	Axial_Plume_NODE_31670_length_1498_cov_0.553611
2309	Axial_Plume_NODE_33262_length_1464_cov_0.581152
1521	Axial_Plume_NODE_3521_length_4405_cov_1.435016
847	Axial_Plume_NODE_3884_length_4175_cov_1.051136
184	Axial_Plume_NODE_40659_length_1333_cov_1.996683
1522	Axial_Plume_NODE_43_length_34052_cov_73.669300
1523	Axial_Plume_NODE_4453_length_3889_cov_1.297182
1389	Axial_Plume_NODE_4792_length_3736_cov_2.205597
630	Axial_Plume_NODE_5062_length_3634_cov_0.926718
846	Axial_Plume_NODE_5134_length_3609_cov_1.286617
1413	Axial_Plume_NODE_5144_length_3606_cov_0.499856
1524	Axial_Plume_NODE_5185_length_3587_cov_0.882081
1525	Axial_Plume_NODE_5349_length_3533_cov_0.748972
1526	Axial_Plume_NODE_5710_length_3415_cov_1.517640
1527	Axial_Plume_NODE_58950_length_1129_cov_0.558882
1528	Axial_Plume_NODE_5933_length_3354_cov_1.163929
1529	Axial_Plume_NODE_6130_length_3296_cov_0.964342
2310	Axial_Plume_NODE_70906_length_1041_cov_0.388403
1530	Axial_Plume_NODE_7143_length_3058_cov_1.334016
1375	Axial_Plume_NODE_8334_length_2829_cov_10.996299
1531	Axial_Plume_NODE_9145_length_2701_cov_0.958042
1510	Axial_Seawater_NODE_10001_length_1940_cov_0.939327
1513	Axial_Seawater_NODE_1024_length_4931_cov_2.419026
1515	Axial_Seawater_NODE_10258_length_1921_cov_0.709030
2802	Axial_Seawater_NODE_11396_length_1843_cov_0.998834
1521	Axial_Seawater_NODE_11556_length_1830_cov_2.326483
1249	Axial_Seawater_NODE_12375_length_1783_cov_0.852053
2311	Axial_Seawater_NODE_12666_length_1768_cov_0.943327
272	Axial_Seawater_NODE_13045_length_1747_cov_0.845679
1529	Axial_Seawater_NODE_1314_length_4404_cov_1.079027
2803	Axial_Seawater_NODE_1374_length_4297_cov_1.950120
1530	Axial_Seawater_NODE_14135_length_1693_cov_0.696041
2804	Axial_Seawater_NODE_1567_length_4004_cov_1.963632
2312	Axial_Seawater_NODE_1659_length_3915_cov_0.808078
1337	Axial_Seawater_NODE_1819_length_3754_cov_0.403915
847	Axial_Seawater_NODE_1851_length_3721_cov_0.919032
1527	Axial_Seawater_NODE_21320_length_1443_cov_0.312310
414	Axial_Seawater_NODE_22827_length_1405_cov_0.950704
2313	Axial_Seawater_NODE_24093_length_1377_cov_0.871200
847	Axial_Seawater_NODE_2783_length_3174_cov_0.800459
2805	Axial_Seawater_NODE_3326_length_2966_cov_1.696724
2806	Axial_Seawater_NODE_412_length_7907_cov_1.648843
1524	Axial_Seawater_NODE_422_length_7829_cov_1.210854
1511	Axial_Seawater_NODE_4958_length_2551_cov_1.108086
414	Axial_Seawater_NODE_49618_length_1040_cov_1.946331
1520	Axial_Seawater_NODE_5180_length_2509_cov_0.611671
1528	Axial_Seawater_NODE_6005_length_2372_cov_1.369265
812	Axial_Seawater_NODE_6567_length_2292_cov_1.301155
2315	Axial_Seawater_NODE_7013_length_2231_cov_1.002376
846	Axial_Seawater_NODE_740_length_5730_cov_2.698197
2807	Axial_Seawater_NODE_7610_length_2163_cov_0.758841
2316	Axial_Seawater_NODE_804_length_5516_cov_3.488402
1517	Axial_Seawater_NODE_88_length_18819_cov_3.174246
1525	Axial_Seawater_NODE_8948_length_2029_cov_0.880652
2808	Brothers_Diffuse_S009_NODE_10393_length_2323_cov_0.658925
84	Brothers_Diffuse_S009_NODE_10963_length_2262_cov_1.373302
201	Brothers_Diffuse_S009_NODE_11_length_29156_cov_61.873058
2809	Brothers_Diffuse_S009_NODE_13785_length_2010_cov_0.563463
2810	Brothers_Diffuse_S009_NODE_17940_length_1756_cov_0.915285
1491	Brothers_Diffuse_S009_NODE_18389_length_1733_cov_0.693649
821	Brothers_Diffuse_S009_NODE_21420_length_1602_cov_0.872542
1532	Brothers_Diffuse_S009_NODE_2145_length_4716_cov_1.313358
2317	Brothers_Diffuse_S009_NODE_2221_length_4640_cov_37.520275
831	Brothers_Diffuse_S009_NODE_22500_length_1561_cov_1.132497
1533	Brothers_Diffuse_S009_NODE_23822_length_1517_cov_5.228777
202	Brothers_Diffuse_S009_NODE_26_length_21730_cov_7.497292
12	Brothers_Diffuse_S009_NODE_27200_length_1418_cov_1.109992
1139	Brothers_Diffuse_S009_NODE_32890_length_1283_cov_0.684256
1534	Brothers_Diffuse_S009_NODE_37261_length_1199_cov_3.882463
2811	Brothers_Diffuse_S009_NODE_4377_length_3489_cov_3.021118
