	Brothers_NWCA_S013_vRhyme_bin_72.fasta	Brothers_NWCA_S144_NODE_135_length_39322_cov_2.066309.fasta	Brothers_NWCB_S012_vRhyme_bin_133.fasta	Brothers_NWCB_S139_vRhyme_bin_149.fasta	Brothers_NWCB_S141_vRhyme_bin_186.fasta	Brothers_NWCB_S146_vRhyme_bin_141.fasta	Brothers_NWCB_S146_vRhyme_bin_70.fasta	Brothers_UC_S010_NODE_3_length_117511_cov_3.387012_fragment_1.fasta	ELSC_Abe_A3_NODE_349_length_34067_cov_2.628197.fasta	ELSC_Bowl_M1_vRhyme_bin_70.fasta	ELSC_Bowl_M2_NODE_903_length_34977_cov_5.977532.fasta	ELSC_Bowl_M2_vRhyme_bin_223.fasta	ELSC_Mariner_M10_NODE_523_length_30543_cov_5.466005.fasta	ELSC_Mariner_M10_NODE_75_length_84621_cov_10.694274_fragment_1.fasta	ELSC_Mariner_M17_NODE_620_length_37589_cov_6.832791.fasta	ELSC_Mariner_M17_vRhyme_bin_119.fasta	ELSC_Mariner_M17_vRhyme_bin_197.fasta	ELSC_Mariner_M17_vRhyme_bin_217.fasta	ELSC_Tui_Malila_T10_NODE_33_length_85711_cov_35.971992_fragment_2.fasta	ELSC_Tui_Malila_T10_vRhyme_bin_1.fasta	ELSC_Tui_Malila_T10_vRhyme_bin_68.fasta	ELSC_Tui_Malila_T11_vRhyme_bin_81.fasta	Guaymas_4561-380_vRhyme_bin_19.fasta	Guaymas_4561-380_vRhyme_bin_32.fasta	Guaymas_4571-419_vRhyme_bin_1.fasta	Guaymas_4571-419_vRhyme_bin_4.fasta	Lau_Basin_Abe_vRhyme_bin_98.fasta	Lau_Basin_Kilo_Moana_vRhyme_bin_48.fasta
Brothers_NWCA_S013_vRhyme_bin_72.fasta	100	0	0	0	0	0	52.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCA_S144_NODE_135_length_39322_cov_2.066309.fasta	0	100	0	0	63.8	67.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S012_vRhyme_bin_133.fasta	0	0	100	86.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S139_vRhyme_bin_149.fasta	0	0	86.43	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S141_vRhyme_bin_186.fasta	0	63.8	0	0	100	67.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S146_vRhyme_bin_141.fasta	0	67.88	0	0	67.89	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_NWCB_S146_vRhyme_bin_70.fasta	52.8	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brothers_UC_S010_NODE_3_length_117511_cov_3.387012_fragment_1.fasta	0	0	0	0	0	0	0	100	0	0	0	0	0	0	74.03	0	0	0	0	0	0	0	0	0	0	0	0	0
ELSC_Abe_A3_NODE_349_length_34067_cov_2.628197.fasta	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	54.22	0	0	0	0	0	0	0	0
ELSC_Bowl_M1_vRhyme_bin_70.fasta	0	0	0	0	0	0	0	0	0	100	86.3	0	66.21	0	0	0	0	72.79	0	0	0	0	0	0	0	0	0	0
