id	Site	Viral Taxonomy
1	Brothers_NWCB_S012_NODE_222_length_51512_cov_28.927099	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S139_NODE_162247_length_1520_cov_1.347452	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S139_NODE_56494_length_3132_cov_1.026622	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S139_NODE_70984_length_2701_cov_0.970085	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S139_NODE_83539_length_2423_cov_1.512195	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S139_NODE_99491_length_2149_cov_1.039070	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S140_NODE_30418_length_3776_cov_7.990682	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S140_NODE_32089_length_3676_cov_12.999718	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S140_NODE_34521_length_3541_cov_7.456942	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S140_NODE_54421_length_2786_cov_10.154945	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S140_NODE_59828_length_2647_cov_4.907143	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S140_NODE_87161_length_2140_cov_4.352211	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S140_NODE_9736_length_6387_cov_10.720128	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	ELSC_Abe_A3_NODE_202473_length_1803_cov_1.110979	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	ELSC_Abe_A3_NODE_30781_length_4695_cov_0.931042	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	MAR_Rainbow_354-166_scaffold_17289_c1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	MAR_Rainbow_354-166_scaffold_28799_c1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	MAR_Rainbow_354-166_scaffold_6401_c1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	MAR_Rainbow_354-166_scaffold_89328_c1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S146_vRhyme_bin_111	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	MAR_Rainbow_354-166_vRhyme_bin_114	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1	Brothers_NWCB_S140_vRhyme_bin_168	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCA_S143_NODE_97267_length_1823_cov_8.828420	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S012_NODE_1724_length_17262_cov_32.790604	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S139_NODE_27411_length_4897_cov_5.347170	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S139_NODE_46273_length_3556_cov_4.160105	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S139_NODE_95596_length_2208_cov_28.024988	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S140_NODE_110132_length_1866_cov_2.220242	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
2	Brothers_NWCB_S140_NODE_32853_length_3633_cov_3.470051	#N/A
2	Brothers_NWCB_S140_NODE_40583_length_3261_cov_2.352265	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
