secondary_cluster	Site	value	viral_genomes	taxonomy
1018_1	Lau_Basin	1	Cayman_Shallow_k95_855341_flag_0_multi_10.2419_len_3125	#N/A
1018_1	Mid_Cayman_Rise	1	Cayman_Shallow_k95_855341_flag_0_multi_10.2419_len_3125	#N/A
10342_1	Brothers_Volcano	1	Brothers_UC_S010_NODE_3_length_117511_cov_3.387012_fragment_1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10342_1	Lau_Basin	1	Brothers_UC_S010_NODE_3_length_117511_cov_3.387012_fragment_1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10437_1	Brothers_Volcano	1	Brothers_NWCB_S141_NODE_813_length_33328_cov_16.352520	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10437_1	Lau_Basin	1	Brothers_NWCB_S141_NODE_813_length_33328_cov_16.352520	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10445_1	Brothers_Volcano	1	Brothers_NWCA_S144_NODE_230_length_31641_cov_3.028178	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10445_1	Lau_Basin	1	Brothers_NWCA_S144_NODE_230_length_31641_cov_3.028178	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10599_1	Brothers_Volcano	1	Brothers_NWCB_S140_vRhyme_bin_21	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10599_1	Lau_Basin	1	Brothers_NWCB_S140_vRhyme_bin_21	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1060_1	Lau_Basin	1	Cayman_Deep_k95_301219_flag_0_multi_17.5638_len_3912	#N/A
1060_1	Mid_Cayman_Rise	1	Cayman_Deep_k95_301219_flag_0_multi_17.5638_len_3912	#N/A
10643_20	Brothers_Volcano	3	Brothers_NWCA_S144_NODE_26710_length_3719_cov_4.011136	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
10643_20	Lau_Basin	2	Brothers_NWCA_S144_NODE_26710_length_3719_cov_4.011136	r__Varidnaviria;k__Helvetiavirae;p__Dividoviricota;c__Laserviricetes;o__Halopanivirales;f__Sphaerolipoviridae;g__;s__
10653_3	Brothers_Volcano	2	Brothers_NWCB_S139_NODE_50077_length_3384_cov_1.303654	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10653_3	Lau_Basin	1	Brothers_NWCB_S139_NODE_50077_length_3384_cov_1.303654	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10733_1	Brothers_Volcano	1	Brothers_NWCB_S140_NODE_8893_length_6643_cov_1.092388	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
10733_1	Lau_Basin	1	Brothers_NWCB_S140_NODE_8893_length_6643_cov_1.092388	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
11681_1	Brothers_Volcano	2	Brothers_NWCA_S013_NODE_1684_length_9696_cov_2.963633	r__;k__;p__;c__;o__;f__;g__;s__
11681_1	Lau_Basin	2	Brothers_NWCA_S013_NODE_1684_length_9696_cov_2.963633	r__;k__;p__;c__;o__;f__;g__;s__
11856_1	Brothers_Volcano	1	Brothers_NWCB_S140_vRhyme_bin_149	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
11856_1	Lau_Basin	1	Brothers_NWCB_S140_vRhyme_bin_149	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
13709_1	Brothers_Volcano	1	Brothers_UC_S010_NODE_6076_length_5992_cov_3.935209	#N/A
13709_1	Lau_Basin	1	Brothers_UC_S010_NODE_6076_length_5992_cov_3.935209	#N/A
14907_1	Axial_Seamount	1	Axial_Plume_NODE_3290_length_4584_cov_1.143146	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
14907_1	Guaymas_Basin	1	Axial_Plume_NODE_3290_length_4584_cov_1.143146	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1496_1	Brothers_Volcano	1	Brothers_NWCB_S139_NODE_188_length_66584_cov_32.062552_fragment_1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1496_1	Lau_Basin	1	Brothers_NWCB_S139_NODE_188_length_66584_cov_32.062552_fragment_1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1853_1	Brothers_Volcano	1	Brothers_NWCA_S144_NODE_3318_length_10279_cov_1.664007	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1853_1	Lau_Basin	2	Brothers_NWCA_S144_NODE_3318_length_10279_cov_1.664007	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1870_1	Brothers_Volcano	3	Brothers_NWCA_S143_NODE_26096_length_4020_cov_1.340098	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
1870_1	Lau_Basin	1	Brothers_NWCA_S143_NODE_26096_length_4020_cov_1.340098	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
3488_1	Brothers_Volcano	1	Brothers_NWCB_S146_NODE_43658_length_3335_cov_1.374688	#N/A
3488_1	Lau_Basin	1	Brothers_NWCB_S146_NODE_43658_length_3335_cov_1.374688	#N/A
4359_1	Lau_Basin	1	Cayman_Deep_k95_250024_flag_0_multi_7.3152_len_3969	#N/A
4359_1	Mid_Cayman_Rise	1	Cayman_Deep_k95_250024_flag_0_multi_7.3152_len_3969	#N/A
5976_1	Brothers_Volcano	1	Brothers_NWCB_S140_NODE_34644_length_3535_cov_1.488850	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
5976_1	Lau_Basin	1	Brothers_NWCB_S140_NODE_34644_length_3535_cov_1.488850	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
6316_1	Brothers_Volcano	1	Brothers_NWCB_S141_NODE_23788_length_4416_cov_2.813243	#N/A
6316_1	Lau_Basin	1	Brothers_NWCB_S141_NODE_23788_length_4416_cov_2.813243	#N/A
6390_4	Brothers_Volcano	1	Brothers_NWCA_S144_NODE_22313_length_4080_cov_1.369593	#N/A
6390_4	Lau_Basin	1	Brothers_NWCA_S144_NODE_22313_length_4080_cov_1.369593	#N/A
6904_1	Brothers_Volcano	1	Brothers_NWCA_S144_NODE_1560_length_14241_cov_10.712838	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
6904_1	Lau_Basin	1	Brothers_NWCA_S144_NODE_1560_length_14241_cov_10.712838	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7744_1	Brothers_Volcano	1	Brothers_UC_S011_vRhyme_bin_29	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
7744_1	Lau_Basin	1	Brothers_UC_S011_vRhyme_bin_29	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8332_1	Brothers_Volcano	1	Brothers_NWCA_S144_NODE_1625_length_14015_cov_1.715582	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8332_1	Lau_Basin	1	Brothers_NWCA_S144_NODE_1625_length_14015_cov_1.715582	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8468_1	Brothers_Volcano	1	Brothers_NWCB_S141_NODE_594_length_39361_cov_6.887521_fragment_1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
8468_1	Lau_Basin	1	Brothers_NWCB_S141_NODE_594_length_39361_cov_6.887521_fragment_1	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
9630_1	Brothers_Volcano	1	Brothers_NWCA_S143_NODE_15317_length_5405_cov_6.519326	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
9630_1	Lau_Basin	1	Brothers_NWCA_S143_NODE_15317_length_5405_cov_6.519326	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
9631_1	Lau_Basin	1	ELSC_Mariner_M10_vRhyme_bin_60	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
9631_1	Mid_Atlantic_Ridge	1	ELSC_Mariner_M10_vRhyme_bin_60	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
9631_5	Brothers_Volcano	1	Brothers_NWCB_S146_vRhyme_bin_48	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
9631_5	EPR	1	Brothers_NWCB_S146_vRhyme_bin_48	r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__;f__;g__;s__
