Host.genus	Virus	KB	contig_length	checkv_quality	provirus	gene_count	viral_genes	completeness	contamination	warnings	AAI.to.closest.RaFAH.reference	Confidence.score	List.of.methods
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__	Brothers_Diffuse_S009_vRhyme_bin_20	27855	36855	Low-quality	No	48	7	25.38	0		4.75	90.1	blast;92.60
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__	Brothers_NWCB_S141_vRhyme_bin_148	33228	34728	High-quality	No	51	16	94.42	0		7.53	94	CRISPR;95.80
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__	Brothers_NWCB_S146_vRhyme_bin_1	48363	49863	Medium-quality	No	67	10	56.9	0		4.06	98.5	CRISPR;98.90 iPHoP-RF;50.20
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__	Brothers_NWCA_S144_NODE_13170_length_5336_cov_1.560760	5336	5336	Low-quality	No	7	2	7.26	0		5.76	92	blast;94.20 iPHoP-RF;74.80
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__	ELSC_Tui_Malila_T10_NODE_9033_length_5758_cov_25.331025	5758	5758	Low-quality	No	15	2	2.51	0		4.26	91	blast;93.40 iPHoP-RF;75.40
d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__	Guaymas_4559-240_scaffold_1390_c1	19833	19833	Low-quality	No	32	15	25.68	0		13.85	91.4	blast;93.70 iPHoP-RF;89.50
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__	ELSC_Mariner_131-447_vRhyme_bin_94	112253	119753	Low-quality	No	155	45	39.53	0		21.13	90.2	blast;92.70
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__	Brothers_NWCA_S143_vRhyme_bin_93	6878	8378	Low-quality	No	14	1	11.4	0		2.12	90.6	blast;93.00 iPHoP-RF;86.30
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__	Brothers_NWCB_S012_vRhyme_bin_120	48162	51162	Low-quality	No	64	4	47.79	0		2.88	97.6	CRISPR;98.30 iPHoP-RF;90.50
d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Acidilobaceae;g__	Brothers_NWCB_S140_vRhyme_bin_163	9359	10859	Low-quality	No	16	1	14.77	0		NA	94.3	blast;96.00 iPHoP-RF;74.10
