protein	accession	evalue	score
ELSC_M10_metabat2_016_M10_NODE_18978_length_3617_cov_1.988252_5	TIGR02061	0.0	1149.6
Brothers_S144_metabat2_104_S144_NODE_11667_length_5652_cov_1.347692_5	TIGR02061	0.0	1149.5
ELSC_128-326_metabat2_077_128-326_scaffold_5515_c1_6	TIGR02061	0.0	1121.2
Brothers_S141_metabat2_239_S141_NODE_8859_length_8439_cov_1.911935_2	TIGR02061	0.0	1120.7
Brothers_S146_metabat2_054_S146_NODE_11908_length_6415_cov_3.835719_4	TIGR02061	0.0	1120.5
MAR_356-308_metabat2_072_356-308_scaffold_94_c1_93	TIGR02061	0.0	1118.3
ELSC_134-614_maxbin2_046_134-614_scaffold_179_c2_20	TIGR02061	0.0	1117.1
ELSC_A3_maxbin2_307_A3_NODE_31066_length_4674_cov_6.892676_4	TIGR02061	0.0	1117.1
ELSC_M17_maxbin2_147_M17_NODE_2373_length_18927_cov_4.537660_8	TIGR02061	0.0	1117.1
ELSC_M2_metabat1_218_M2_NODE_2245_length_22034_cov_6.003241_6	TIGR02061	0.0	1116.0
ELSC_M2_maxbin2_326_M2_NODE_423_length_52627_cov_12.697867_37	TIGR02061	0.0	1109.4
ELSC_M2_maxbin2_319_VB_M2_NODE_620_length_42559_cov_8.513410_21	TIGR02061	0.0	1107.6
ELSC_M2_metabat2_212_M2_NODE_73_length_113490_cov_5.011053_22	TIGR02061	0.0	1103.5
ELSC_A1_maxbin2_109_A1_NODE_70927_length_2616_cov_5.273202_2	TIGR02061	0.0	1102.1
MAR_354-166_metabat2_138_354-166_scaffold_832_c1_16	TIGR02061	0.0	1102.0
ELSC_T10_metabat2_125_T10_NODE_1482_length_14057_cov_5.568988_6	TIGR02061	0.0	1101.6
ELSC_T2_metabat1_031_T2_NODE_2100_length_21201_cov_2.235598_8	TIGR02061	0.0	1101.6
ELSC_134-614_metabat1_028_134-614_scaffold_1119_c1_3	TIGR02061	0.0	1100.8
ELSC_M17_metabat2_085_M17_NODE_27981_length_4500_cov_1.770409_3	TIGR02061	0.0	1100.8
ELSC_T2_metabat2_209_T2_NODE_20227_length_6642_cov_3.582348_3	TIGR02061	0.0	1100.8
ELSC_A3_metabat1_186_A3_NODE_5296_length_10696_cov_6.001135_7	TIGR02061	0.0	1100.1
ELSC_M17_metabat2_014_M17_NODE_865_length_31951_cov_43.158497_16	TIGR02061	0.0	1100.0
Brothers_S139_metabat2_264_S139_NODE_36_length_141891_cov_11.164471_99	TIGR02061	0.0	1098.4
ELSC_134-614_metabat2_130_134-614_scaffold_4589_c1_6	TIGR02061	0.0	1097.0
ELSC_A3_metabat2_334_A3_NODE_3235_length_13358_cov_31.100295_6	TIGR02061	0.0	1097.0
Brothers_S139_maxbin2_321_S139_NODE_43358_length_3705_cov_1.100335_4	TIGR02061	0.0	1096.5
MAR_354-166_metabat2_003_354-166_scaffold_3452_c1_9	TIGR02061	0.0	1094.3
Brothers_S139_maxbin2_159_S139_NODE_11938_length_7830_cov_3.848241_8	TIGR02061	0.0	1092.8
Brothers_S140_maxbin2_127_S140_NODE_48873_length_2952_cov_3.428673_3	TIGR02061	0.0	1091.2
ELSC_132-544_maxbin2_109_132-544_scaffold_516_c1_16	TIGR02061	0.0	1091.2
ELSC_T2_maxbin2_508_T2_NODE_32858_length_5178_cov_45.837458_5	TIGR02061	0.0	1091.2
ELSC_134-614_metabat2_015_134-614_scaffold_1956_c1_2	TIGR02061	0.0	1089.9
ELSC_T2_metabat2_097_T2_NODE_9304_length_9890_cov_2.619482_3	TIGR02061	0.0	1089.5
Brothers_S139_maxbin2_099_S139_NODE_139_length_78969_cov_12.661805_68	TIGR02061	0.0	1089.3
Brothers_S139_maxbin2_221_S139_NODE_13814_length_7231_cov_137.647804_6	TIGR02061	0.0	1087.4
ELSC_128-326_metabat2_052_128-326_scaffold_68_c1_73	TIGR02061	0.0	1087.3
Guaymas_4559-240_maxbin2_121_4559-240_scaffold_4721_c1_5	TIGR02061	0.0	1086.9
Guaymas_4559-240_metabat2_103_4559-240_scaffold_1408_c1_14	TIGR02061	0.0	1084.9
ELSC_M17_metabat1_116_M17_NODE_14532_length_6771_cov_2.627935_4	TIGR02061	0.0	1084.6
Brothers_S141_metabat2_163_S141_NODE_9528_length_8051_cov_3.089475_7	TIGR02061	0.0	1083.6
