user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings
Axial_Plume_UWMA-0803	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus_C;s__Thioglobus_C sp003489145	GCA_003489145.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus_C;s__Thioglobus_C sp003489145	99.26	0.852	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0806	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	55.03	11	0.88635	N/A
Axial_Plume_UWMA-0807	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA11889;s__UBA11889 sp022448085	GCA_022448085.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA11889;s__UBA11889 sp022448085	98.18	0.926	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0809	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__S20-B6;s__S20-B6 sp002699725	GCA_002699725.1	95	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__S20-B6;s__S20-B6 sp002699725	97.12	0.819	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0810	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus_C;s__Thioglobus_C plumae	GCA_910595815.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus_C;s__Thioglobus_C plumae	95.5	0.785	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0811	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__	N/A	N/A	N/A	N/A	N/A	GCA_016197305.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__Gallionella sp016197305	76.86	0.108	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_024641025.1, s__Gallionella sp024641025, 95.0, 77.26, 0.086; GCA_016218415.1, s__Gallionella sp016218415, 95.0, 77.2, 0.163; GCA_002429165.1, s__Gallionella sp002429165, 95.0, 77.15, 0.108; GCA_004298605.1, s__Gallionella sp004298605, 95.0, 77.13, 0.1; GCA_016183575.1, s__Gallionella sp016183575, 95.0, 77.1, 0.097; GCA_020621985.1, s__Gallionella altingense, 95.0, 77.1, 0.125; GCA_022340615.1, s__Gallionella sp022340615, 95.0, 77.09, 0.11; GCA_002780675.1, s__Gallionella sp002780675, 95.0, 77.07, 0.084; GCA_003235435.1, s__Gallionella sp003235435, 95.0, 77.06, 0.081; GCA_002403995.1, s__Gallionella sp002403995, 95.0, 77.04, 0.118; GCA_023259055.1, s__Gallionella sp023259055, 95.0, 76.98, 0.133; GCA_003153155.1, s__Gallionella sp003153155, 95.0, 76.92, 0.143; GCA_017880945.1, s__Gallionella sp017880945, 95.0, 76.85, 0.098; GCF_018324385.1, s__Gallionella kumadai, 95.0, 76.85, 0.118; GCA_016716325.1, s__Gallionella sp016716325, 95.0, 76.84, 0.118; GCA_023229845.1, s__Gallionella sp023229845, 95.0, 76.82, 0.092; GCA_021782365.1, s__Gallionella sp021782365, 95.0, 76.8, 0.053; GCA_001801085.1, s__Gallionella sp001801085, 95.0, 76.79, 0.096; GCA_016195965.1, s__Gallionella sp016195965, 95.0, 76.79, 0.106; GCA_019449655.1, s__Gallionella sp019449655, 95.0, 76.78, 0.114; GCA_003134595.1, s__Gallionella sp003134595, 95.0, 76.78, 0.133; GCA_021787435.1, s__Gallionella sp021787435, 95.0, 76.77, 0.067; GCA_013043965.1, s__Gallionella sp013043965, 95.0, 76.76, 0.088; GCA_016218475.1, s__Gallionella sp016218475, 95.0, 76.75, 0.086; GCA_001801105.1, s__Gallionella sp001801105, 95.0, 76.74, 0.1; GCA_903876685.1, s__Gallionella sp903876685, 95.0, 76.7, 0.061; GCA_903885165.1, s__Gallionella sp903885165, 95.0, 76.68, 0.073; GCA_001801025.1, s__Gallionella sp001801025, 95.0, 76.66, 0.086; GCA_021821945.1, s__Gallionella sp021821945, 95.0, 76.64, 0.055; GCA_024653675.1, s__Gallionella sp024653675, 95.0, 76.62, 0.108; GCA_001801215.1, s__Gallionella sp001801215, 95.0, 76.61, 0.114; GCA_903858965.1, s__Gallionella sp903858965, 95.0, 76.61, 0.125; GCA_001577345.1, s__Gallionella acididurans, 95.0, 76.6, 0.112; GCA_016177795.1, s__Gallionella sp016177795, 95.0, 76.59, 0.092; GCA_017880865.1, s__Gallionella sp017880865, 95.0, 76.55, 0.133; GCA_021783995.1, s__Gallionella sp021783995, 95.0, 76.53, 0.069; GCF_000145255.1, s__Gallionella capsiferriformans, 95.0, 76.52, 0.106; GCA_024654105.1, s__Gallionella sp024654105, 95.0, 76.46, 0.102; GCA_002381565.1, s__Gallionella sp002381565, 95.0, 76.44, 0.094; GCA_019753125.1, s__Gallionella sp019753125, 95.0, 76.43, 0.112; GCA_021781695.1, s__Gallionella sp021781695, 95.0, 76.42, 0.065; GCA_019449635.1, s__Gallionella bremense, 95.0, 76.42, 0.122; GCA_023259035.1, s__Gallionella sp023259035, 95.0, 76.4, 0.104; GCA_013141315.1, s__Gallionella sp013141315, 95.0, 76.37, 0.098; GCA_903861075.1, s__Gallionella sp903861075, 95.0, 76.33, 0.065; GCA_021851345.1, s__Gallionella sp021851345, 95.0, 76.32, 0.1; GCA_002414205.1, s__Gallionella sp002414205, 95.0, 76.29, 0.053; GCA_903934275.1, s__Gallionella sp903934275, 95.0, 76.28, 0.092; GCA_001801175.1, s__Gallionella sp001801175, 95.0, 76.28, 0.12; GCA_021800795.1, s__Gallionella sp021800795, 95.0, 76.26, 0.082; GCA_001801055.1, s__Gallionella sp001801055, 95.0, 76.23, 0.078; GCA_016218465.1, s__Gallionella sp016218465, 95.0, 76.23, 0.073; GCA_021783855.1, s__Gallionella sp021783855, 95.0, 76.2, 0.082; GCA_903915035.1, s__Gallionella sp903915035, 95.0, 76.16, 0.08; GCA_013044075.1, s__Gallionella sp013044075, 95.0, 75.85, 0.08"	97.16	11	0.93335	N/A
Axial_Plume_UWMA-0813	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__OPU3-GD-OMZ;s__OPU3-GD-OMZ sp012959905	GCA_012959905.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__OPU3-GD-OMZ;s__OPU3-GD-OMZ sp012959905	99.44	0.88	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0814	d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	82.14	11	0.70423	N/A
Axial_Plume_UWMA-0815	d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__UBA796;g__UBA796;s__UBA796 sp002296975	GCA_002296975.1	95	d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__UBA796;g__UBA796;s__UBA796 sp002296975	99.31	0.776	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0816	d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__UBA796;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__UBA796;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	78.75	11	0.75303	N/A
Axial_Plume_UWMA-0817	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA9410;s__UBA9410 sp012961035	GCA_012961035.1	95	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA9410;s__UBA9410 sp012961035	98.9	0.933	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0818	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__UBA974 sp012963975	GCA_015663855.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__UBA974 sp012963975	98.4	0.801	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0819	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus_A;s__Thioglobus_A sp012963715	GCA_012964205.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Thioglobus_A;s__Thioglobus_A sp012963715	97.85	0.867	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0820	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp002733945	GCA_002733945.2	95	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp002733945	96.09	0.843	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
Axial_Plume_UWMA-0821	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__QPIN01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__QPIN01;s__	ANI	classification based on placement in class-level tree	"GCA_003666385.1, s__QPIN01 sp003666385, 95.0, 78.96, 0.483; GCA_003666325.1, s__QPIN01 sp003666325, 95.0, 78.54, 0.473; GCA_021647585.1, s__QPIN01 sp021647585, 95.0, 77.57, 0.338; GCA_024277935.1, s__QPIN01 sp024277935, 95.0, 77.47, 0.216; GCA_023134955.1, s__QPIN01 sp023134955, 95.0, 77.43, 0.247; GCA_023145835.1, s__QPIN01 sp023145835, 95.0, 77.34, 0.196; GCA_913009265.1, s__QPIN01 sp913009265, 95.0, 77.31, 0.135; GCA_013139755.1, s__QPIN01 sp013139755, 95.0, 77.31, 0.201; GCA_021647145.1, s__QPIN01 sp021647145, 95.0, 77.1, 0.165"	82.86	11	0.93996	N/A
